i,j,formula,eigvals,dopant_options
3787,2,Ca53F8Ge87Na2O239P2Zn17,"[0.00000000e+00+1.79646284e-03j 0.00000000e+00+3.41007966e-05j
 2.26993841e-05+0.00000000e+00j ... 1.22538529e-01+0.00000000e+00j
 1.38472176e-01+0.00000000e+00j 1.43730467e-01+0.00000000e+00j]","{'Si', 'K', 'Zn', 'La', 'P', 'Na', 'Cu', 'F', 'Ge'}"
3787,3,Ca53F3Ge90O242Zn18,"[0.        +1.02927611e-03j 0.        +3.08216740e-05j
 0.        +1.80423642e-05j ... 0.10206922+0.00000000e+00j
 0.10227548+0.00000000e+00j 0.10325957+0.00000000e+00j]","{'Si', 'K', 'Zn', 'La', 'P', 'Na', 'Cu', 'F', 'Ge'}"
3787,3,Ca54F4Ge86O241Zn18,"[0.        +0.00575117j 0.        +0.0052221j  0.        +0.00435262j ...
 0.10036636+0.j         0.1007662 +0.j         0.10135793+0.j        ]","{'Si', 'K', 'Zn', 'La', 'P', 'Na', 'Cu', 'F', 'Ge'}"
3793,1,Ag72Ba2I213K142O,"[0.00000000e+00+2.73812418e-03j 0.00000000e+00+3.94080619e-06j
 3.50552336e-06+0.00000000e+00j ... 2.25090353e-02+0.00000000e+00j
 2.29041152e-02+0.00000000e+00j 4.36946760e-02+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,1,Ag70BaCs2I211K142S,"[0.00000000e+00+4.37221773e-06j 1.70587371e-06+0.00000000e+00j
 5.49980495e-06+0.00000000e+00j ... 1.85469129e-02+0.00000000e+00j
 3.02217342e-02+0.00000000e+00j 3.12260105e-02+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,1,Ag70CsI211InK140O,"[0.00000000e+00+3.82571198e-06j 1.92023850e-06+0.00000000e+00j
 7.20298745e-06+0.00000000e+00j ... 1.76744266e-02+0.00000000e+00j
 1.80985352e-02+0.00000000e+00j 7.33756258e-02+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,2,Ag70I205K137O3Se3Sr3,"[0.        +1.24465155e-03j 0.        +6.69629485e-04j
 0.        +6.69738015e-06j ... 0.0491123 +0.00000000e+00j
 0.06469916+0.00000000e+00j 0.07286294+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,2,Ag67BaCsI207In2K139O2Sr,"[0.        +8.76995145e-04j 0.        +5.32472143e-04j
 0.        +5.22188816e-06j ... 0.0247922 +0.00000000e+00j
 0.04559999+0.00000000e+00j 0.07204143+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,2,Ag71Ba2I214InK140OS,"[0.00000000e+00+6.72410081e-06j 0.00000000e+00+4.42185315e-06j
 3.32817263e-06+0.00000000e+00j ... 3.11553636e-02+0.00000000e+00j
 3.18804377e-02+0.00000000e+00j 7.29065300e-02+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,3,Ag70BaCs2I202InK143SSe3,"[0.        +0.00168231j 0.        +0.00107377j 0.        +0.00033553j ...
 0.02503896+0.j         0.03055727+0.j         0.03394002+0.j        ]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,3,Ag71Ba2CsI210K139O2SSeSr2,"[0.00000000e+00+7.60693484e-06j 5.45533958e-06+0.00000000e+00j
 9.73716944e-06+0.00000000e+00j ... 3.22117124e-02+0.00000000e+00j
 6.99204450e-02+0.00000000e+00j 7.48779792e-02+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3793,3,Ag68Ba2I214K137O2,"[0.00000000e+00+3.76850778e-06j 0.00000000e+00+1.56313583e-06j
 6.68325310e-06+0.00000000e+00j ... 2.39853722e-02+0.00000000e+00j
 7.09060787e-02+0.00000000e+00j 7.80048958e-02+0.00000000e+00j]","{'In', 'Se', 'Cs', 'K', 'S', 'O', 'Sr', 'Ba'}"
3794,1,Cl3Cs92O182Sb94Sr3,"[0.00000000e+00+1.97707973e-05j 9.19271387e-06+0.00000000e+00j
 1.32680248e-05+0.00000000e+00j ... 7.56633235e-02+0.00000000e+00j
 8.00706381e-02+0.00000000e+00j 8.12920526e-02+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,1,Cs95F2O187Sb94,"[0.        +2.57439084e-03j 0.        +1.32077900e-03j
 0.        +2.05345637e-05j ... 0.08235182+0.00000000e+00j
 0.08532151+0.00000000e+00j 0.08624297+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,1,ClCs93O187Sb95Sr,"[0.        +2.53370967e-03j 0.        +1.63957901e-03j
 0.        +1.29354837e-05j ... 0.07388325+0.00000000e+00j
 0.08092972+0.00000000e+00j 0.08898544+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,2,ClCs95F2InO187SSb92Sr,"[0.00000000e+00+2.48317097e-05j 0.00000000e+00+1.27980760e-05j
 1.10608843e-05+0.00000000e+00j ... 8.24025737e-02+0.00000000e+00j
 1.09490375e-01+0.00000000e+00j 1.17375914e-01+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,2,BaCs92F2O184Sb94,"[0.        +0.00287149j 0.        +0.00203823j 0.        +0.00092838j ...
 0.08016038+0.j         0.08081092+0.j         0.0827971 +0.j        ]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,2,Cl3Cs95FO186Sb95,"[0.        +2.22376775e-03j 0.        +2.00736778e-03j
 0.        +1.65255817e-05j ... 0.07690546+0.00000000e+00j
 0.08149501+0.00000000e+00j 0.08205609+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,3,Cl4Cs95InKO184Sb90,"[0.        +1.60427799e-03j 0.        +1.92428513e-05j
 0.        +1.56404013e-05j ... 0.08324605+0.00000000e+00j
 0.083696  +0.00000000e+00j 0.08540193+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,3,ClCs91FInO187Sb93,"[0.00000000e+00+0.00214422j 0.00000000e+00+0.00085559j
 7.05287967e-06+0.j         ... 8.63608937e-02+0.j
 8.83080682e-02+0.j         9.00041110e-02+0.j        ]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3794,3,ClCs94FO186Sb94,"[0.00000000e+00+1.91459824e-03j 0.00000000e+00+1.78438363e-05j
 8.35272277e-06+0.00000000e+00j ... 8.00239661e-02+0.00000000e+00j
 8.41788057e-02+0.00000000e+00j 8.90757370e-02+0.00000000e+00j]","{'In', 'K', 'Pb', 'Sb', 'S', 'Sr', 'Cl', 'F', 'Tl', 'Ba'}"
3800,1,FGe107Mg104N209Na,"[0.00000000e+00+2.1541631e-05j 1.88146772e-05+0.0000000e+00j
 2.98782161e-05+0.0000000e+00j ... 9.01542275e-02+0.0000000e+00j
 9.02220627e-02+0.0000000e+00j 9.14984451e-02+0.0000000e+00j]","{'Se', 'Zn', 'O', 'P', 'Na', 'Li', 'F', 'Cd', 'Co', 'S'}"
3800,1,CdCoGe104Mg106N214NaS,"[0.00000000e+00+2.20544764e-05j 3.10349251e-05+0.00000000e+00j
 3.34919134e-05+0.00000000e+00j ... 9.05455255e-02+0.00000000e+00j
 9.06832908e-02+0.00000000e+00j 9.15928031e-02+0.00000000e+00j]","{'Se', 'Zn', 'O', 'P', 'Na', 'Li', 'F', 'Cd', 'Co', 'S'}"
3800,2,FGe108Mg103N209Na2S2,"[1.04129570e-05+0.j 2.29449451e-05+0.j 3.62098602e-05+0.j ...
 9.17560483e-02+0.j 9.19022387e-02+0.j 9.26834131e-02+0.j]","{'Se', 'Zn', 'O', 'P', 'Na', 'Li', 'F', 'Cd', 'Co', 'S'}"
3800,2,CdGe105Mg105N213Na2O3PZn,"[0.00000000e+00+3.11542334e-05j 2.50411281e-05+0.00000000e+00j
 3.83992250e-05+0.00000000e+00j ... 9.90373048e-02+0.00000000e+00j
 1.02636025e-01+0.00000000e+00j 1.19325757e-01+0.00000000e+00j]","{'Se', 'Zn', 'O', 'P', 'Na', 'Li', 'F', 'Cd', 'Co', 'S'}"
3800,3,Ge103Mg102N206Na3S3Se2Zn,"[0.        +9.14864793e-03j 0.        +2.78603307e-05j
 0.        +1.13640075e-05j ... 0.09425723+0.00000000e+00j
 0.09521641+0.00000000e+00j 0.10345976+0.00000000e+00j]","{'Se', 'Zn', 'O', 'P', 'Na', 'Li', 'F', 'Cd', 'Co', 'S'}"
3800,3,Ge106LiMg105N213Na,"[0.00000000e+00+3.87506168e-05j 0.00000000e+00+2.98762124e-05j
 3.26238346e-05+0.00000000e+00j ... 9.00058584e-02+0.00000000e+00j
 9.02945664e-02+0.00000000e+00j 9.06998555e-02+0.00000000e+00j]","{'Se', 'Zn', 'O', 'P', 'Na', 'Li', 'F', 'Cd', 'Co', 'S'}"
3801,1,ClCoFO292Sn97Sr99,"[0.00000000e+00+2.24323014e-03j 0.00000000e+00+2.24321383e-05j
 7.77158092e-06+0.00000000e+00j ... 9.23157233e-02+0.00000000e+00j
 9.26636300e-02+0.00000000e+00j 9.50473823e-02+0.00000000e+00j]","{'Cs', 'K', 'Ta', 'Rb', 'La', 'Nd', 'Cl', 'F', 'Cd', 'Co'}"
3801,1,Cd3Cl3FO292Sn97Sr100,"[0.        +0.00544747j 0.        +0.00264067j 0.        +0.00049777j ...
 0.09224673+0.j         0.09341725+0.j         0.0975798 +0.j        ]","{'Cs', 'K', 'Ta', 'Rb', 'La', 'Nd', 'Cl', 'F', 'Cd', 'Co'}"
3801,2,ClF5O291Sn97Sr96,"[0.        +0.00566601j 0.        +0.00454916j 0.        +0.00412826j ...
 0.09183731+0.j         0.09340316+0.j         0.09491608+0.j        ]","{'Cs', 'K', 'Ta', 'Rb', 'La', 'Nd', 'Cl', 'F', 'Cd', 'Co'}"
3801,2,Cd3Cl5CoF2O290Sn95Sr100,"[0.        +3.84314741e-03j 0.        +2.04060106e-03j
 0.        +3.22798702e-05j ... 0.09360542+0.00000000e+00j
 0.09451378+0.00000000e+00j 0.0961642 +0.00000000e+00j]","{'Cs', 'K', 'Ta', 'Rb', 'La', 'Nd', 'Cl', 'F', 'Cd', 'Co'}"
3801,3,CdClFO297Sn99Sr99,"[0.        +2.72608359e-03j 0.        +3.83578806e-05j
 0.        +3.02497481e-05j ... 0.09119877+0.00000000e+00j
 0.09168995+0.00000000e+00j 0.09346219+0.00000000e+00j]","{'Cs', 'K', 'Ta', 'Rb', 'La', 'Nd', 'Cl', 'F', 'Cd', 'Co'}"
3801,3,ClCsFO294Sn98Sr94,"[0.        +1.58915234e-03j 0.        +4.28222808e-05j
 0.        +3.91968464e-05j ... 0.09371844+0.00000000e+00j
 0.09379683+0.00000000e+00j 0.09487339+0.00000000e+00j]","{'Cs', 'K', 'Ta', 'Rb', 'La', 'Nd', 'Cl', 'F', 'Cd', 'Co'}"
3803,1,Ba2Ca2Cs92CuF273O6Pd47,"[0.00000000e+00+4.83050147e-03j 0.00000000e+00+2.25392388e-05j
 4.87001535e-06+0.00000000e+00j ... 7.48452076e-02+0.00000000e+00j
 7.55033896e-02+0.00000000e+00j 7.57994912e-02+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,1,Cs92F278O2Pd48Sr,"[0.        +3.52551481e-03j 0.        +1.99497191e-03j
 0.        +3.10877981e-06j ... 0.07175715+0.00000000e+00j
 0.07394668+0.00000000e+00j 0.07570709+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,1,CdCs96F275O6Pd47,"[0.00000000e+00+1.76628095e-05j 0.00000000e+00+1.13313252e-05j
 9.97686725e-06+0.00000000e+00j ... 7.40381003e-02+0.00000000e+00j
 7.44980013e-02+0.00000000e+00j 7.48820024e-02+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,2,CdCs94F279O4Pd46Sr2Zn,"[0.        +0.00558778j 0.        +0.00523545j 0.        +0.00378371j ...
 0.07451026+0.j         0.07479186+0.j         0.07563134+0.j        ]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,2,Cs95F283MnO3Pd45,"[0.00000000e+00+1.41150876e-05j 3.19944205e-06+0.00000000e+00j
 1.60523344e-05+0.00000000e+00j ... 7.33228903e-02+0.00000000e+00j
 7.46373764e-02+0.00000000e+00j 7.51462794e-02+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,2,CdCs96F279O8Pd47,"[0.00000000e+00+1.49058762e-05j 0.00000000e+00+9.27572940e-06j
 1.58442510e-05+0.00000000e+00j ... 7.40686008e-02+0.00000000e+00j
 7.44256030e-02+0.00000000e+00j 7.52654999e-02+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,3,CdCs96F282O6Pd46,"[0.00000000e+00+1.65142161e-05j 1.39883948e-05+0.00000000e+00j
 2.09817844e-05+0.00000000e+00j ... 7.27684088e-02+0.00000000e+00j
 7.32499815e-02+0.00000000e+00j 7.37593785e-02+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,3,Cs92CuF277MnO7Pd45Sr,"[0.00000000e+00+3.14144600e-03j 0.00000000e+00+1.97885057e-05j
 1.41132502e-05+0.00000000e+00j ... 7.38441149e-02+0.00000000e+00j
 7.43072420e-02+0.00000000e+00j 7.43967311e-02+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3803,3,Cs93F278O3Pd46Zn,"[0.        +6.06658793e-03j 0.        +2.08450085e-05j
 0.        +8.78596511e-06j ... 0.0734945 +0.00000000e+00j
 0.07444123+0.00000000e+00j 0.07460236+0.00000000e+00j]","{'Mn', 'Zn', 'O', 'La', 'Nd', 'Cu', 'Ca', 'Cd', 'Sr', 'Ba'}"
3804,1,Cd53In106N2NaSe208,"[0.00000000e+00+9.84313066e-06j 0.00000000e+00+8.38936910e-06j
 1.21901960e-05+0.00000000e+00j ... 5.87289221e-02+0.00000000e+00j
 6.21980406e-02+0.00000000e+00j 6.24799711e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,1,Cd49CrGeIn105NaSbSe212,"[0.00000000e+00+7.42168524e-06j 4.57933698e-06+0.00000000e+00j
 6.27975173e-06+0.00000000e+00j ... 2.45441253e-02+0.00000000e+00j
 2.64022564e-02+0.00000000e+00j 2.78477345e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,1,Cd52Ge2In107N6Se208,"[0.00000000e+00+1.10797243e-05j 3.57577687e-06+0.00000000e+00j
 9.54237211e-06+0.00000000e+00j ... 6.08574792e-02+0.00000000e+00j
 6.12479543e-02+0.00000000e+00j 6.21041772e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,2,Cd50CsGeIn103N6Se207Sn,"[0.        +3.91584706e-03j 0.        +8.91322802e-04j
 0.        +6.76556502e-06j ... 0.06295596+0.00000000e+00j
 0.06330705+0.00000000e+00j 0.06358402+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,2,Cd52In106NSe212Sn,"[0.00000000e+00+8.12588554e-06j 6.94287694e-06+0.00000000e+00j
 1.15622403e-05+0.00000000e+00j ... 5.49938285e-02+0.00000000e+00j
 5.87669981e-02+0.00000000e+00j 6.25577974e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,2,Cd49In106N4Se208Sn,"[0.00000000e+00+1.44767175e-05j 0.00000000e+00+6.76910475e-06j
 5.38886714e-06+0.00000000e+00j ... 6.08761089e-02+0.00000000e+00j
 6.21965468e-02+0.00000000e+00j 6.26188343e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,3,Cd53In106N3Na3Se212,"[3.17876344e-06+0.j 8.38315601e-06+0.j 1.21735376e-05+0.j ...
 5.97885906e-02+0.j 6.11924161e-02+0.j 6.19489142e-02+0.j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,3,Cd53In105N5NaSe206,"[0.00000000e+00+1.58241582e-05j 7.13507089e-06+0.00000000e+00j
 1.27097008e-05+0.00000000e+00j ... 6.31957348e-02+0.00000000e+00j
 6.33348600e-02+0.00000000e+00j 6.47965860e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3804,3,Cd51In105N5Se210,"[0.00000000e+00+1.23073505e-05j 0.00000000e+00+9.47462812e-06j
 9.95129804e-06+0.00000000e+00j ... 6.16831585e-02+0.00000000e+00j
 6.17022822e-02+0.00000000e+00j 6.31691149e-02+0.00000000e+00j]","{'Cs', 'K', 'Sn', 'Cr', 'Na', 'W', 'N', 'Ge', 'Sb'}"
3805,1,K2O262Ti157,"[0.00000000e+00+3.66814467e-05j 1.48603454e-05+0.00000000e+00j
 4.93992676e-05+0.00000000e+00j ... 1.09150671e-01+0.00000000e+00j
 1.47811790e-01+0.00000000e+00j 2.56199951e-01+0.00000000e+00j]","{'Mo', 'K', 'Sn', 'Mg', 'Rh', 'Ru', 'W', 'Ir', 'Tc', 'Ni'}"
3805,2,K2O261RhRuTi158,"[0.00000000e+00+4.05873071e-05j 9.21934719e-06+0.00000000e+00j
 3.59367274e-05+0.00000000e+00j ... 1.25858051e-01+0.00000000e+00j
 1.60497953e-01+0.00000000e+00j 2.91996595e-01+0.00000000e+00j]","{'Mo', 'K', 'Sn', 'Mg', 'Rh', 'Ru', 'W', 'Ir', 'Tc', 'Ni'}"
3805,3,K10O257Ti159,"[0.00000000e+00+5.08353877e-05j 0.00000000e+00+2.03409627e-05j
 2.23751802e-05+0.00000000e+00j ... 2.94532037e-01+0.00000000e+00j
 3.50455795e-01+0.00000000e+00j 3.77698710e-01+0.00000000e+00j]","{'Mo', 'K', 'Sn', 'Mg', 'Rh', 'Ru', 'W', 'Ir', 'Tc', 'Ni'}"
3807,1,Ca2Ge71N4Na67Se208Zn34,"[0.        +4.12622374e-03j 0.        +2.48054740e-03j
 0.        +1.45506047e-05j ... 0.0826879 +0.00000000e+00j
 0.08634794+0.00000000e+00j 0.08765777+0.00000000e+00j]","{'Si', 'Zn', 'As', 'P', 'Na', 'Cu', 'N', 'Ca', 'Cd', 'Ge'}"
3807,1,AsCa2CdGe67N3Na69PSe208Zn35,"[0.        +1.40671919e-03j 0.        +1.88914303e-05j
 0.        +5.10192225e-06j ... 0.0806662 +0.00000000e+00j
 0.0890806 +0.00000000e+00j 0.09165139+0.00000000e+00j]","{'Si', 'Zn', 'As', 'P', 'Na', 'Cu', 'N', 'Ca', 'Cd', 'Ge'}"
3807,2,CuGe71N5Na71Se208Zn33,"[0.00000000e+00+9.48659887e-04j 0.00000000e+00+1.52096840e-05j
 4.46602821e-06+0.00000000e+00j ... 8.67868084e-02+0.00000000e+00j
 8.69521516e-02+0.00000000e+00j 9.00076190e-02+0.00000000e+00j]","{'Si', 'Zn', 'As', 'P', 'Na', 'Cu', 'N', 'Ca', 'Cd', 'Ge'}"
3807,2,CuGe72N2Na71Se211Zn35,"[0.00000000e+00+3.47210849e-06j 7.16180501e-06+0.00000000e+00j
 9.27011415e-06+0.00000000e+00j ... 6.24385632e-02+0.00000000e+00j
 8.64879443e-02+0.00000000e+00j 8.66960384e-02+0.00000000e+00j]","{'Si', 'Zn', 'As', 'P', 'Na', 'Cu', 'N', 'Ca', 'Cd', 'Ge'}"
3807,3,CaGe71N4Na70Se208Zn35,"[0.00000000e+00+4.31029882e-06j 8.75621116e-06+0.00000000e+00j
 1.40539812e-05+0.00000000e+00j ... 8.24902929e-02+0.00000000e+00j
 8.52331159e-02+0.00000000e+00j 8.58879076e-02+0.00000000e+00j]","{'Si', 'Zn', 'As', 'P', 'Na', 'Cu', 'N', 'Ca', 'Cd', 'Ge'}"
3807,3,CaGe71N2Na68PSe213Zn36,"[0.        +1.20368276e-05j 0.        +9.03890400e-06j
 0.        +7.09782420e-06j ... 0.06142128+0.00000000e+00j
 0.0861319 +0.00000000e+00j 0.08630591+0.00000000e+00j]","{'Si', 'Zn', 'As', 'P', 'Na', 'Cu', 'N', 'Ca', 'Cd', 'Ge'}"
3809,1,F2K215S214,"[0.        +0.00402667j 0.        +0.00331418j 0.        +0.00294323j ...
 0.06278362+0.j         0.0629269 +0.j         0.06311837+0.j        ]","{'Pb', 'Sr', 'Br', 'Eu', 'Cl', 'F', 'O', 'Ac', 'S', 'Ba'}"
3809,1,FK212S211,"[0.        +0.0045704j  0.        +0.00354002j 0.        +0.00326379j ...
 0.0635629 +0.j         0.06370087+0.j         0.0639312 +0.j        ]","{'Pb', 'Sr', 'Br', 'Eu', 'Cl', 'F', 'O', 'Ac', 'S', 'Ba'}"
3809,2,ClFK212OS211,"[0.        +0.00416267j 0.        +0.00318085j 0.        +0.00285452j ...
 0.06548161+0.j         0.06632948+0.j         0.09639087+0.j        ]","{'Pb', 'Sr', 'Br', 'Eu', 'Cl', 'F', 'O', 'Ac', 'S', 'Ba'}"
3809,2,K211OS211,"[0.        +0.00386888j 0.        +0.00373718j 0.        +0.00347816j ...
 0.06369729+0.j         0.06563043+0.j         0.0966184 +0.j        ]","{'Pb', 'Sr', 'Br', 'Eu', 'Cl', 'F', 'O', 'Ac', 'S', 'Ba'}"
3809,3,FK210S208Sr,"[0.        +0.00375545j 0.        +0.00342806j 0.        +0.0031547j  ...
 0.06356254+0.j         0.0635793 +0.j         0.06368385+0.j        ]","{'Pb', 'Sr', 'Br', 'Eu', 'Cl', 'F', 'O', 'Ac', 'S', 'Ba'}"
3809,3,BrClF2K207S210,"[0.        +0.00410513j 0.        +0.00282877j 0.        +0.00271265j ...
 0.06399518+0.j         0.06404057+0.j         0.06440252+0.j        ]","{'Pb', 'Sr', 'Br', 'Eu', 'Cl', 'F', 'O', 'Ac', 'S', 'Ba'}"
3816,1,As125Be126FNa125O,"[0.00000000e+00+2.23723259e-05j 0.00000000e+00+1.80951736e-05j
 1.12178675e-05+0.00000000e+00j ... 9.49653951e-02+0.00000000e+00j
 1.11070660e-01+0.00000000e+00j 1.40564908e-01+0.00000000e+00j]","{'Hg', 'Bi', 'La', 'Cl', 'F', 'Ca', 'O', 'Ce', 'S'}"
3816,2,As125Be123CaClF2Na122,"[0.        +2.76915502e-03j 0.        +2.17515872e-05j
 0.        +1.70178956e-05j ... 0.09214601+0.00000000e+00j
 0.10675533+0.00000000e+00j 0.11177345+0.00000000e+00j]","{'Hg', 'Bi', 'La', 'Cl', 'F', 'Ca', 'O', 'Ce', 'S'}"
3816,3,As125Be125Na125S3,"[0.        +2.23894806e-03j 0.        +1.52519310e-05j
 0.        +7.25491217e-06j ... 0.07965374+0.00000000e+00j
 0.08018258+0.00000000e+00j 0.08051456+0.00000000e+00j]","{'Hg', 'Bi', 'La', 'Cl', 'F', 'Ca', 'O', 'Ce', 'S'}"
3817,1,BaCd184FK45P143Te2,"[0.00000000e+00+1.29487701e-05j 1.05859776e-05+0.00000000e+00j
 1.23266340e-05+0.00000000e+00j ... 3.27264302e-02+0.00000000e+00j
 3.29214418e-02+0.00000000e+00j 3.74685715e-02+0.00000000e+00j]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,1,BaCd190InK48P141Te,"[0.        +0.00281085j 0.        +0.00196833j 0.        +0.00148602j ...
 0.03195437+0.j         0.03198531+0.j         0.03213276+0.j        ]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,1,AgCd190K48P142,"[0.00000000e+00+1.01786879e-05j 3.37808103e-06+0.00000000e+00j
 4.14791928e-06+0.00000000e+00j ... 3.19783504e-02+0.00000000e+00j
 3.20960839e-02+0.00000000e+00j 3.21377923e-02+0.00000000e+00j]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,2,AgCd188K48P142,"[0.        +0.00289215j 0.        +0.00259912j 0.        +0.00204678j ...
 0.03309596+0.j         0.03473519+0.j         0.03580077+0.j        ]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,2,Ag3Cd187K47O2P142,"[0.        +0.00294728j 0.        +0.00215645j 0.        +0.00188621j ...
 0.03251917+0.j         0.1116626 +0.j         0.11286596+0.j        ]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,3,Cd191K47NaOP140,"[0.        +0.00238782j 0.        +0.00220677j 0.        +0.00182371j ...
 0.03789011+0.j         0.03963007+0.j         0.04030433+0.j        ]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,3,BaCd188K48P140Te,"[0.        +2.29298112e-03j 0.        +1.20448802e-03j
 0.        +1.09456316e-05j ... 0.03199919+0.00000000e+00j
 0.03281703+0.00000000e+00j 0.03292362+0.00000000e+00j]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3817,3,BaCd190FK45P141,"[0.        +0.00243001j 0.        +0.00171232j 0.        +0.00112641j ...
 0.03234066+0.j         0.03250825+0.j         0.03806961+0.j        ]","{'In', 'Ag', 'Pb', 'Li', 'Na', 'Te', 'F', 'O', 'Tl', 'Ba'}"
3837,1,Ba106BrGe50IOSe104Te104,"[0.        +0.00264416j 0.        +0.00205428j 0.        +0.0017151j  ...
 0.02921078+0.j         0.03607279+0.j         0.08052269+0.j        ]","{'Mo', 'K', 'Ga', 'I', 'Br', 'W', 'Fe', 'Tc', 'O', 'Al'}"
3837,1,Ba108BrGe53KSe106Te106,"[0.        +2.38037374e-03j 0.        +9.43611516e-04j
 0.        +1.20206592e-05j ... 0.02741225+0.00000000e+00j
 0.02750584+0.00000000e+00j 0.02975487+0.00000000e+00j]","{'Mo', 'K', 'Ga', 'I', 'Br', 'W', 'Fe', 'Tc', 'O', 'Al'}"
