,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
9540,9540,20344,Nb1O4Sb1_20344.json,"['F', 'Cl', 'W', 'Sb', 'Mo']","['O', 'O', 'Nb', 'Sb', 'Nb']","['Pb', 'K', 'S', 'Tl', 'Na']","['Sb', 'Sb', 'Sb', 'Sb', 'Nb']"
9545,9545,239702,Ga2Ge1Na2S6_239702.json,"['P', 'As', 'Ca', 'Sb', 'Er']","['Ge', 'Ge', 'Na', 'Na', 'Na']","['Cs', 'Zn', 'Ba', 'Li', 'Cd']","['Ga', 'Ge', 'Ga', 'Ga', 'Ge']"
9551,9551,159467,Br1In1S4Sb2_159467.json,"['K', 'Cl', 'Sb', 'Rb', 'W']","['Br', 'S', 'Sb', 'Br', 'In']","['O', 'Na', 'Pb', 'S', 'K']","['Br', 'In', 'Sb', 'Br', 'Sb']"
9554,9554,24133,Al2O5Ti1_24133.json,"['F', 'Ta', 'Cl', 'Nb', 'Si']","['O', 'Ti', 'O', 'Ti', 'Al']","['Li', 'Na', 'Na', 'Zn', 'Mn']","['Al', 'Al', 'Ti', 'Ti', 'Ti']"
9555,9555,24132,Cu2S3Si1_24132.json,"['Zn', 'Hg', 'P', 'V', 'As']","['Cu', 'Cu', 'Si', 'Si', 'Si']","['Li', 'Zn', 'N', 'O', 'Be']","['Si', 'Si', 'S', 'Cu', 'Si']"
9559,9559,428185,Al1P1S4_428185.json,"['Cl', 'Si', 'Cr', 'S', 'Br']","['S', 'Al', 'P', 'P', 'S']","['Li', 'Na', 'Si', 'N', 'Ge']","['Al', 'Al', 'P', 'S', 'P']"
9561,9561,69652,Br4Ga1In1_69652.json,"['Sb', 'La', 'Pb', 'Yb', 'Ce']","['In', 'In', 'In', 'In', 'In']","['O', 'Cs', 'S', 'Ba', 'Li']","['Br', 'Ga', 'Br', 'Ga', 'Ga']"
9562,9562,197968,Ba1Se1_197968.json,"['La', 'Ca', 'Nd', 'Pr', 'Sm']","['Ba', 'Se', 'Ba', 'Ba', 'Ba']","['Cs', 'Rb', 'K', 'N', 'Tl']","['Ba', 'Ba', 'Ba', 'Se', 'Ba']"
9565,9565,430579,Ba2Se3Zn1_430579.json,"['Si', 'Ge', 'W', 'Mo', 'Re']","['Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['Cs', 'Rb', 'K', 'Na', 'Cu']","['Ba', 'Ba', 'Ba', 'Zn', 'Zn']"
9566,9566,23170,Cd3O5Si1_23170.json,"['F', 'P', 'V', 'Cl', 'Ge']","['O', 'Si', 'Si', 'O', 'Cd']","['Li', 'Na', 'Zn', 'O', 'Be']","['Si', 'Cd', 'Si', 'Cd', 'Si']"
9570,9570,610753,As1K1Mg1_610753.json,"['Hf', 'Sn', 'Zr', 'U', 'In']","['Mg', 'Mg', 'Mg', 'Mg', 'Mg']","['Li', 'Na', 'Ag', 'F', 'K']","['Mg', 'Mg', 'Mg', 'Mg', 'Mg']"
9571,9571,4327,Cu1I2O6_4327.json,"['F', 'Ge', 'Cl', 'Si', 'Mo']","['O', 'Cu', 'O', 'Cu', 'Cu']","['Cs', 'Ba', 'Sc', 'Ca', 'Se']","['I', 'I', 'I', 'I', 'I']"
9572,9572,97762,Ba2Cu1O7Si2_97762.json,"['F', 'Ge', 'P', 'V', 'Cl']","['O', 'Cu', 'Si', 'Si', 'O']","['Cs', 'Rb', 'K', 'Li', 'Zn']","['Ba', 'Ba', 'Ba', 'Si', 'Si']"
9573,9573,40426,As2K2Si1_40426.json,"['Cr', 'Mn', 'Br', 'Se', 'Ba']","['Si', 'Si', 'Si', 'Si', 'K']","['Be', 'O', 'F', 'Al', 'B']","['Si', 'K', 'K', 'Si', 'Si']"
9576,9576,643441,Mn1S2_643441.json,"['Ta', 'Nb', 'Cl', 'Sb', 'Br']","['Mn', 'Mn', 'S', 'Mn', 'S']","['Rh', 'Ni', 'N', 'Mn', 'Mn']","['Mn', 'Mn', 'S', 'Mn', 'Mn']"
9580,9580,77374,B1N1_77374.json,"['O', 'S', 'Se', 'F', 'C']","['N', 'N', 'N', 'N', 'B']","['Ag', 'Ba', 'Ni', 'Cu', 'Zn']","['B', 'B', 'B', 'B', 'B']"
9582,9582,415580,Cs1Sb2Se4_415580.json,"['Br', 'Pb', 'Zr', 'Cl', 'Fr']","['Se', 'Sb', 'Sb', 'Se', 'Se']","['Sb', 'Mn', 'Cd', 'Zn', 'Co']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
9583,9583,60093,Cl9P1Sn1_60093.json,"['Ta', 'Cr', 'K', 'Rb', 'Na']","['Sn', 'P', 'Cl', 'Cl', 'Cl']","['O', 'S', 'Si', 'Co', 'Cd']","['Cl', 'Cl', 'P', 'Sn', 'Sn']"
9584,9584,27690,Cr1F3K1_27690.json,"['Ba', 'Fe', 'Sc', 'Mn', 'Zr']","['K', 'Cr', 'Cr', 'Cr', 'Cr']","['O', 'O', 'Na', 'O', 'K']","['F', 'Cr', 'Cr', 'K', 'Cr']"
9586,9586,22174,Br1Cs1_22174.json,"['Ba', 'Sr', 'K', 'Rb', 'Cs']","['Cs', 'Cs', 'Br', 'Br', 'Br']","['O', 'S', 'Se', 'Cl', 'Br']","['Br', 'Br', 'Br', 'Cs', 'Cs']"
9589,9589,194086,O8Se2V1Y1_194086.json,"['F', 'Re', 'Cr', 'Cl', 'V']","['O', 'Y', 'V', 'O', 'Y']","['Si', 'Na', 'La', 'Nd', 'Pr']","['V', 'Y', 'Se', 'Se', 'Se']"
9593,9593,109250,Mn3O4_109250.json,"['Te', 'Mn', 'Te', 'Pb', 'Pb']","['Mn', 'O', 'O', 'Mn', 'O']","['Mn', 'Fe', 'Zn', 'Li', 'Co']","['Mn', 'Mn', 'Mn', 'Mn', 'Mn']"
9595,9595,16519,Cl1O4P1Sn2_16519.json,"['F', 'Mn', 'Cl', 'Co', 'Cr']","['O', 'Sn', 'O', 'Sn', 'Sn']","['O', 'Cs', 'Rb', 'S', 'Si']","['Cl', 'Sn', 'Sn', 'Cl', 'P']"
9596,9596,36202,K1N1O2_36202.json,"['F', 'Ba', 'Sr', 'Cl', 'Ca']","['O', 'K', 'K', 'O', 'K']","['O', 'Cl', 'N', 'Br', 'F']","['K', 'K', 'O', 'K', 'K']"
9599,9599,171007,Ca2Cl2Cu1O10Te4_171007.json,"['F', 'La', 'Ge', 'Cl', 'Nd']","['O', 'Ca', 'Cu', 'O', 'Ca']","['O', 'Na', 'K', 'S', 'Cs']","['Cl', 'Ca', 'Ca', 'Cl', 'Ca']"
9603,9603,26765,Ba1S3_26765.json,"['La', 'Bi', 'La', 'Ce', 'Ce']","['Ba', 'Ba', 'Ba', 'Ba', 'Ba']","['O', 'K', 'K', 'Rb', 'Ag']","['Ba', 'Ba', 'Ba', 'Ba', 'Ba']"
9604,9604,150966,Cr2Se4Zn1_150966.json,"['Si', 'Ge', 'W', 'Sb', 'Mo']","['Zn', 'Zn', 'Zn', 'Cr', 'Zn']","['Na', 'Na', 'Cu', 'N', 'K']","['Cr', 'Zn', 'Zn', 'Se', 'Cr']"
9605,9605,65450,K6Mn1Se4_65450.json,"['Ba', 'Sr', 'Ca', 'Sc', 'Ir']","['K', 'K', 'K', 'Mn', 'Mn']","['Na', 'N', 'Li', 'O', 'O']","['Mn', 'Se', 'Mn', 'K', 'Mn']"
9606,9606,240480,Br4Cs2I2Pd1_240480.json,"['Ba', 'Sr', 'K', 'K', 'Cs']","['Cs', 'Cs', 'Br', 'I', 'I']","['O', 'O', 'S', 'S', 'Cd']","['Br', 'I', 'I', 'Br', 'Pd']"
9607,9607,169878,Co1Cr2S4_169878.json,"['Ge', 'Sn', 'Cl', 'Fe', 'Sb']","['Co', 'Co', 'S', 'Co', 'Cr']","['Na', 'Na', 'K', 'Mg', 'N']","['Cr', 'Co', 'Cr', 'Cr', 'S']"
9610,9610,84866,Cr1Sb1Se3_84866.json,"['Sb', 'Sb', 'Zr', 'Ta', 'Se']","['Sb', 'Cr', 'Cr', 'Cr', 'Cr']","['Pb', 'Na', 'K', 'S', 'Tl']","['Sb', 'Cr', 'Sb', 'Sb', 'Sb']"
9612,9612,23528,Ge1Mn1N2_23528.json,"['O', 'S', 'Se', 'F', 'P']","['N', 'N', 'N', 'N', 'Ge']","['Na', 'Zn', 'Cd', 'Co', 'Li']","['Mn', 'Ge', 'Ge', 'Ge', 'Ge']"
9613,9613,423780,Al2Ca3P4_423780.json,"['Mn', 'Ge', 'Ce', 'Pr', 'Nd']","['Al', 'Al', 'Ca', 'Ca', 'Ca']","['Na', 'Be', 'Ag', 'Ni', 'Mg']","['Ca', 'Al', 'Ca', 'Al', 'Al']"
9614,9614,5029,Cu6Fe1S8Sn2_5029.json,"['Fe', 'Nb', 'Nb', 'Ga', 'U']","['Cu', 'Fe', 'Cu', 'Cu', 'Fe']","['Ni', 'Mg', 'Cu', 'Co', 'Li']","['Fe', 'Fe', 'Fe', 'Fe', 'Fe']"
9617,9617,88802,Ba2F6Pd1_88802.json,"['Fe', 'Mn', 'Sc', 'Cr', 'V']","['Pd', 'Pd', 'Pd', 'Pd', 'Pd']","['O', 'Cs', 'Rb', 'K', 'Na']","['F', 'Ba', 'Ba', 'Ba', 'Pd']"
9618,9618,41711,Ag2Ge1S3_41711.json,"['P', 'As', 'In', 'Cl', 'Ga']","['Ge', 'Ge', 'Ag', 'S', 'Ag']","['Zn', 'O', 'Cd', 'Co', 'Li']","['Ge', 'Ag', 'Ge', 'Ge', 'Ge']"
9622,9622,26877,Cl1Rb1_26877.json,"['Ba', 'Sr', 'Er', 'Ho', 'K']","['Rb', 'Rb', 'Rb', 'Rb', 'Cl']","['O', 'S', 'Cl', 'Se', 'Br']","['Cl', 'Cl', 'Rb', 'Cl', 'Rb']"
9623,9623,183216,Cr1Cu1O4_183216.json,"['F', 'Ge', 'Cl', 'Si', 'Cl']","['O', 'Cu', 'O', 'Cu', 'Cr']","['P', 'Zn', 'V', 'Si', 'Cr']","['Cr', 'Cr', 'Cr', 'Cr', 'Cr']"
9624,9624,109070,Mg1O4Se1_109070.json,"['F', 'Cl', 'Cl', 'W', 'Cr']","['O', 'O', 'Se', 'Mg', 'Mg']","['Na', 'Zn', 'P', 'Si', 'Co']","['Mg', 'Se', 'Se', 'Se', 'Se']"
9625,9625,425179,Ba2In1Sb1Se5_425179.json,"['Sb', 'W', 'Sb', 'La', 'Si']","['Sb', 'In', 'In', 'Ba', 'In']","['Cs', 'Rb', 'Na', 'K', 'Pb']","['Ba', 'Ba', 'In', 'Ba', 'Sb']"
9628,9628,411608,B1Na3S3_411608.json,"['C', 'Ca', 'Sb', 'Er', 'W']","['B', 'Na', 'Na', 'Na', 'Na']","['N', 'Ag', 'F', 'O', 'Cl']","['S', 'B', 'Na', 'Na', 'Na']"
9629,9629,27431,Ga2O3_27431.json,"['F', 'Cl', 'Se', 'Ge', 'Zr']","['O', 'O', 'Ga', 'Ga', 'Ga']","['Cs', 'Ba', 'Li', 'Na', 'Ag']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']"
9631,9631,166540,Al1K3O3_166540.json,"['F', 'Ba', 'Sr', 'Cl', 'Si']","['O', 'K', 'K', 'O', 'Al']","['Li', 'Na', 'Mg', 'K', 'O']","['Al', 'Al', 'Al', 'Al', 'K']"
9637,9637,603798,C1Si1_603798.json,"['Cr', 'Mn', 'Br', 'Se', 'As']","['Si', 'Si', 'Si', 'Si', 'Si']","['Be', 'Al', 'B', 'Ga', 'Fe']","['Si', 'Si', 'Si', 'Si', 'Si']"
9640,9640,420136,Na1O2V1_420136.json,"['F', 'Ca', 'Sb', 'Re', 'Cl']","['O', 'Na', 'Na', 'V', 'O']","['Na', 'Rb', 'K', 'Li', 'Mg']","['V', 'V', 'V', 'V', 'V']"
9643,9643,73478,Cd1Cu1F4_73478.json,"['Ge', 'Ge', 'Si', 'Sn', 'Cr']","['Cu', 'Cd', 'Cu', 'Cd', 'Cd']","['O', 'Na', 'Cu', 'O', 'Li']","['F', 'Cd', 'Cu', 'Cd', 'Cd']"
9644,9644,10470,Cl3I1N1V1_10470.json,"['I', 'Tc', 'Te', 'Mo', 'W']","['V', 'V', 'V', 'V', 'V']","['Al', 'Mn', 'Ge', 'As', 'Se']","['V', 'V', 'V', 'V', 'V']"
9645,9645,171051,Cu1S2Sb1_171051.json,"['Zn', 'Hg', 'Cl', 'Cu', 'Sb']","['Cu', 'Cu', 'S', 'Cu', 'Sb']","['Pb', 'K', 'S', 'Tl', 'In']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
9647,9647,421391,C3Cr2N6_421391.json,"['O', 'S', 'Se', 'F', 'N']","['N', 'N', 'N', 'N', 'C']","['B', 'Al', 'Na', 'Ag', 'La']","['C', 'C', 'Cr', 'C', 'C']"
9650,9650,410735,Rb2Te3Zr1_410735.json,"['Rb', 'Tl', 'K', 'Cs', 'Ba']","['Te', 'Te', 'Te', 'Te', 'Rb']","['Rb', 'Tl', 'O', 'O', 'K']","['Zr', 'Zr', 'Rb', 'Zr', 'Zr']"
9656,9656,411177,Br2Sn1_411177.json,"['Mn', 'Co', 'Cr', 'Fe', 'Sn']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","['O', 'S', 'Cs', 'Rb', 'K']","['Br', 'Br', 'Sn', 'Sn', 'Sn']"
9657,9657,59179,Li1O2Rh1_59179.json,"['F', 'Re', 'Sb', 'Pt', 'Si']","['O', 'Rh', 'Rh', 'Rh', 'Li']","['Na', 'K', 'Rb', 'O', 'Tl']","['Rh', 'Rh', 'Rh', 'Li', 'Rh']"
9659,9659,16013,Cl1Fe1O1_16013.json,"['F', 'Cl', 'Sb', 'W', 'Zr']","['O', 'O', 'Fe', 'Fe', 'Fe']","['O', 'Na', 'S', 'K', 'Li']","['Cl', 'Fe', 'Cl', 'Fe', 'Fe']"
9661,9661,65785,F4V1_65785.json,"['Nb', 'Ta', 'Ru', 'U', 'V']","['V', 'V', 'V', 'V', 'V']","['O', 'Mg', 'Cd', 'Mn', 'Ni']","['F', 'V', 'V', 'V', 'V']"
9662,9662,78869,Cu1F11Na1Zr2_78869.json,"['Ge', 'Ca', 'Sb', 'Er', 'W']","['Cu', 'Na', 'Na', 'Na', 'Na']","['O', 'Fe', 'Mn', 'Cu', 'Mn']","['F', 'Zr', 'Zr', 'Cu', 'Zr']"
9663,9663,156888,Li3N1_156888.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['O', 'F', 'N', 'Cl', 'S']","['Li', 'Li', 'Li', 'Li', 'Li']"
9667,9667,31292,I1Sb1Se1_31292.json,"['K', 'Cs', 'Sb', 'Rb', 'Tl']","['I', 'I', 'Sb', 'I', 'I']","['O', 'S', 'Pb', 'K', 'S']","['I', 'I', 'Sb', 'Sb', 'Sb']"
9669,9669,166257,H1In1O2_166257.json,"['F', 'Cl', 'W', 'Sb', 'Si']","['O', 'O', 'In', 'In', 'In']","['Na', 'K', 'Cs', 'Mg', 'Li']","['In', 'In', 'In', 'In', 'In']"
9670,9670,92075,C4Mn1N6_92075.json,"['O', 'S', 'Se', 'F', 'N']","['N', 'N', 'N', 'N', 'C']","['B', 'Na', 'Al', 'Ag', 'La']","['C', 'Mn', 'C', 'C', 'C']"
9673,9673,60963,Sb2Se2Te1_60963.json,"['Li', 'Sb', 'Li', 'Sb', 'Np']","['Se', 'Se', 'Te', 'Te', 'Sb']","['Li', 'Zn', 'Cu', 'Ge', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
9674,9674,39824,Br9Cs3Sb2_39824.json,"['Ba', 'Sr', 'K', 'Sb', 'Rb']","['Cs', 'Cs', 'Br', 'Sb', 'Br']","['O', 'Pb', 'S', 'K', 'S']","['Br', 'Sb', 'Br', 'Sb', 'Sb']"
9675,9675,166359,O1Zn1_166359.json,"['F', 'Si', 'Ge', 'Cl', 'W']","['O', 'Zn', 'Zn', 'O', 'Zn']","['Na', 'Cu', 'K', 'Li', 'N']","['Zn', 'Zn', 'Zn', 'Zn', 'O']"
9677,9677,187051,Al0.json,"['O', 'S', 'Se', 'F', 'C']","['N', 'N', 'N', 'N', 'B']","['Li', 'Na', 'Mg', 'K', 'Tl']","['Al', 'Al', 'Al', 'Al', 'Al']"
9679,9679,95670,Cu1In1O2_95670.json,"['F', 'Zn', 'Hg', 'Cl', 'Cu']","['O', 'Cu', 'Cu', 'O', 'Cu']","['Na', 'K', 'Cs', 'Mg', 'Li']","['In', 'In', 'In', 'In', 'In']"
9682,9682,98978,Na1O3Sb1_98978.json,"['F', 'Mo', 'Ca', 'Sb', 'Cl']","['O', 'Sb', 'Na', 'Na', 'O']","['Na', 'K', 'Fe', 'Ca', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
9683,9683,2600,As2Se3_2600.json,"['Ca', 'Cl', 'Ce', 'Hf', 'Zr']","['Se', 'Se', 'As', 'As', 'As']","['Rb', 'Na', 'Li', 'Cs', 'Tl']","['As', 'As', 'As', 'As', 'As']"
9684,9684,16353,Ca4O1Sb2_16353.json,"['Ca', 'Ce', 'Pr', 'Ce', 'Pr']","['O', 'Ca', 'Ca', 'O', 'O']","['Na', 'Ag', 'Hg', 'Li', 'F']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
9685,9685,66655,Ba1Cd1S2_66655.json,"['Ge', 'Cl', 'Sn', 'Cr', 'Si']","['Cd', 'S', 'Cd', 'Cd', 'Cd']","['Cs', 'Rb', 'K', 'Na', 'N']","['Ba', 'Ba', 'Ba', 'Cd', 'S']"
9693,9693,98699,Cu3F4H2O2_98699.json,"['F', 'Ge', 'Cl', 'Si', 'Mo']","['O', 'Cu', 'O', 'Cu', 'Cu']","['O', 'Cu', 'O', 'Li', 'Na']","['F', 'Cu', 'H', 'Cu', 'Cu']"
9695,9695,79803,S2Ti1_79803.json,"['Ta', 'Nb', 'Cl', 'Sb', 'Ru']","['Ti', 'Ti', 'S', 'Ti', 'Ti']","['Na', 'Zn', 'Mn', 'N', 'Mg']","['Ti', 'Ti', 'Ti', 'S', 'Ti']"
9696,9696,251148,Ag1Cu1S1_251148.json,"['Zn', 'Hg', 'In', 'Cl', 'Cu']","['Cu', 'Cu', 'Ag', 'S', 'Cu']","['O', 'N', 'O', 'N', 'F']","['Ag', 'S', 'Cu', 'Ag', 'Ag']"
9701,9701,53945,Be1Te1_53945.json,"['Si', 'Cr', 'Se', 'Mn', 'Br']","['Be', 'Be', 'Be', 'Be', 'Be']","['Li', 'Na', 'Ag', 'F', 'K']","['Be', 'Be', 'Be', 'Be', 'Be']"
9706,9706,200020,Cs1F4H4Mn1O2_200020.json,"['Ba', 'F', 'Sr', 'Zr', 'Se']","['Cs', 'O', 'Cs', 'Mn', 'Mn']","['O', 'Mn', 'Mg', 'Ni', 'O']","['F', 'Mn', 'Mn', 'Mn', 'H']"
9715,9715,9864,Mn1O1_9864.json,"['F', 'Cl', 'Sc', 'Ir', 'W']","['O', 'O', 'Mn', 'Mn', 'Mn']","['Na', 'Li', 'O', 'K', 'N']","['Mn', 'Mn', 'Mn', 'Mn', 'O']"
9718,9718,16884,Cr2Ni1S4_16884.json,"['Fe', 'Cr', 'Cl', 'Sn', 'W']","['Ni', 'Ni', 'S', 'Ni', 'Ni']","['Na', 'Na', 'K', 'Mg', 'N']","['Ni', 'Cr', 'Cr', 'Cr', 'S']"
9720,9720,25646,Cd1Ga2Te4_25646.json,"['Ga', 'Nb', 'Nb', 'Fe', 'Te']","['Cd', 'Ga', 'Cd', 'Cd', 'Ga']","['Ni', 'Mg', 'Cu', 'Co', 'Li']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']"
9721,9721,16727,H2O3V1_16727.json,"['F', 'Nb', 'Cl', 'Ta', 'Ba']","['O', 'V', 'O', 'V', 'H']","['Mg', 'Cd', 'Mn', 'Ni', 'Cu']","['V', 'V', 'V', 'V', 'V']"
9724,9724,78878,Li1Rb1Se1_78878.json,"['Ba', 'Sr', 'Si', 'Er', 'Ho']","['Rb', 'Rb', 'Li', 'Li', 'Li']","['O', 'N', 'F', 'N', 'Cl']","['Li', 'Se', 'Li', 'Li', 'Rb']"
9725,9725,418160,Br2Pd1Se6_418160.json,"['Fe', 'Mn', 'Sc', 'Cr', 'V']","['Pd', 'Pd', 'Pd', 'Pd', 'Pd']","['Ti', 'Ge', 'Na', 'N', 'Cu']","['Br', 'Br', 'Pd', 'Se', 'Pd']"
9727,9727,417476,O2Si1_417476.json,"['F', 'P', 'V', 'Cl', 'As']","['O', 'Si', 'Si', 'O', 'Si']","['Li', 'Zn', 'Be', 'Mg', 'Al']","['Si', 'Si', 'Si', 'Si', 'Si']"
9728,9728,99460,B2Ba3O12Ti3_99460.json,"['F', 'C', 'Ta', 'Cl', 'Nb']","['O', 'B', 'Ti', 'O', 'Ti']","['Cs', 'Rb', 'K', 'Na', 'Zn']","['Ba', 'Ba', 'Ba', 'Ti', 'Ti']"
9730,9730,193061,Ba1C2Mg1O4_193061.json,"['F', 'Cl', 'W', 'Cr', 'Sc']","['O', 'O', 'Mg', 'Mg', 'Mg']","['Cs', 'Rb', 'Na', 'K', 'N']","['Ba', 'Ba', 'Mg', 'Ba', 'C']"
9732,9732,80214,Br1Cl14P3_80214.json,"['K', 'Rb', 'Cs', 'Na', 'Cr']","['Br', 'Br', 'Br', 'Br', 'P']","['O', 'O', 'S', 'S', 'Si']","['Cl', 'Br', 'Br', 'Cl', 'P']"
9734,9734,164216,Al1F6K2Na1_164216.json,"['Ba', 'Sr', 'Ca', 'Sb', 'Er']","['K', 'K', 'Na', 'Na', 'Na']","['O', 'Li', 'Na', 'Mg', 'K']","['F', 'Al', 'Al', 'Al', 'Al']"
9735,9735,415036,Ba4O1Rb1Sb3_415036.json,"['K', 'F', 'Ba', 'Pb', 'Sr']","['O', 'O', 'Rb', 'Rb', 'Rb']","['Rb', 'Tl', 'N', 'O', 'O']","['Ba', 'Ba', 'O', 'Rb', 'Ba']"
9739,9739,183024,Cl6Mo1Na3_183024.json,"['Ca', 'Sb', 'Er', 'W', 'Ho']","['Na', 'Na', 'Na', 'Na', 'Na']","['O', 'K', 'Na', 'S', 'Ca']","['Cl', 'Mo', 'Mo', 'Cl', 'Mo']"
9742,9742,92583,Be1Cl2_92583.json,"['Si', 'Ge', 'S', 'Al', 'P']","['Be', 'Be', 'Be', 'Be', 'Be']","['O', 'Ag', 'S', 'O', 'Li']","['Cl', 'Be', 'Cl', 'Be', 'Be']"
9745,9745,93878,Co1Cs2O4Si1_93878.json,"['Ba', 'F', 'Sr', 'P', 'V']","['Cs', 'O', 'Cs', 'Si', 'Si']","['Li', 'Na', 'Zn', 'Li', 'O']","['Si', 'Co', 'Si', 'Co', 'Co']"
9746,9746,173552,Ag3C6Fe1N6_173552.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Na', 'N', 'O', 'K', 'H']","['Fe', 'C', 'Ag', 'Fe', 'C']"
9748,9748,166891,Ag1Fe1O7V2_166891.json,"['F', 'Cr', 'Cl', 'In', 'Sb']","['O', 'V', 'O', 'Ag', 'Fe']","['Si', 'Na', 'Y', 'O', 'K']","['V', 'Fe', 'V', 'Ag', 'Fe']"
9750,9750,638272,H6Li4Ru1_638272.json,"['Fe', 'In', 'Sb', 'Pa', 'Np']","['Li', 'Li', 'Li', 'Li', 'Li']","['O', 'F', 'O', 'Cl', 'S']","['Li', 'Li', 'Li', 'Li', 'Li']"
9751,9751,16548,Co1O3Ti1_16548.json,"['F', 'Ta', 'Cl', 'Ge', 'Sn']","['O', 'Ti', 'O', 'Co', 'Co']","['Na', 'Na', 'Zn', 'Mn', 'Li']","['Co', 'Ti', 'Ti', 'Ti', 'Co']"
9752,9752,200962,Ba1Cl1O2Sb1_200962.json,"['F', 'Cl', 'Sb', 'La', 'K']","['O', 'O', 'Sb', 'Ba', 'Cl']","['O', 'Cs', 'Rb', 'K', 'Pb']","['Cl', 'Ba', 'Ba', 'Ba', 'Sb']"
9757,9757,108990,F4Pd1Sr1_108990.json,"['La', 'Fe', 'Mn', 'Sc', 'Cr']","['Sr', 'Pd', 'Pd', 'Pd', 'Pd']","['O', 'Cs', 'Rb', 'K', 'Na']","['F', 'Sr', 'Sr', 'Sr', 'Pd']"
9758,9758,409176,Cs2S3Si1_409176.json,"['Ba', 'Sr', 'P', 'V', 'As']","['Cs', 'Cs', 'Si', 'Si', 'Si']","['Li', 'Zn', 'N', 'Be', 'Mg']","['Si', 'Si', 'S', 'Si', 'Si']"
9760,9760,79614,B1K1S2_79614.json,"['Ba', 'C', 'Sr', 'Cl', 'Ca']","['K', 'B', 'K', 'S', 'K']","['N', 'O', 'Cl', 'Ag', 'Ba']","['S', 'K', 'K', 'B', 'B']"
9761,9761,260600,C1Cu2H4O5_260600.json,"['F', 'N', 'Zn', 'Hg', 'Cl']","['O', 'C', 'Cu', 'Cu', 'O']","['B', 'Al', 'Ag', 'La', 'Cu']","['C', 'C', 'C', 'C', 'C']"
9762,9762,182368,As2Ge1Mg1_182368.json,"['Al', 'Mn', 'Ge', 'Mo', 'Mo']","['Mg', 'Mg', 'Mg', 'Ge', 'Mg']","['Al', 'Ga', 'Fe', 'Be', 'Ni']","['Ge', 'Ge', 'Ge', 'Ge', 'Ge']"
9763,9763,4403,F6K3Mo1_4403.json,"['Ba', 'Sr', 'Ca', 'Sb', 'Os']","['K', 'K', 'K', 'Mo', 'Mo']","['O', 'K', 'Na', 'Ca', 'Mg']","['F', 'Mo', 'Mo', 'Mo', 'Mo']"
9767,9767,18101,Ag1As1S2_18101.json,"['In', 'Cl', 'Ga', 'Ba', 'Mg']","['Ag', 'S', 'Ag', 'Ag', 'Ag']","['Rb', 'Na', 'Li', 'Cs', 'Tl']","['As', 'As', 'As', 'As', 'As']"
9771,9771,73936,Mn1O5Se2_73936.json,"['F', 'F', 'Hg', 'Hg', 'Ag']","['O', 'O', 'O', 'O', 'O']","['As', 'Be', 'P', 'Cr', 'Se']","['Mn', 'Mn', 'Mn', 'Mn', 'Mn']"
9773,9773,24553,Ba1O2S1_24553.json,"['F', 'Cl', 'La', 'Nd', 'Pr']","['O', 'O', 'Ba', 'Ba', 'Ba']","['Cs', 'Rb', 'K', 'Tl', 'N']","['Ba', 'Ba', 'Ba', 'Ba', 'O']"
9774,9774,2635,F1Se1Y1_2635.json,"['Re', 'V', 'Ru', 'Ta', 'Ir']","['Y', 'Y', 'Y', 'Y', 'Y']","['O', 'Na', 'K', 'N', 'Ca']","['F', 'Y', 'Y', 'Se', 'Y']"
9775,9775,6158,K2O2Pd1_6158.json,"['F', 'Ba', 'Sr', 'Fe', 'Mn']","['O', 'K', 'K', 'Pd', 'Pd']","['Na', 'Cu', 'K', 'Li', 'O']","['Pd', 'Pd', 'Pd', 'Pd', 'K']"
9777,9777,44407,Mn1O3Ti1_44407.json,"['F', 'Ta', 'Cl', 'Nb', 'Sc']","['O', 'Ti', 'O', 'Ti', 'Mn']","['Na', 'Na', 'Zn', 'Mn', 'Li']","['Mn', 'Ti', 'Ti', 'Ti', 'Mn']"
9779,9779,92314,Li5N2Na1_92314.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['O', 'F', 'N', 'F', 'O']","['Li', 'Li', 'Li', 'Na', 'Na']"
9781,9781,241134,Fe1Li1Mo2O8_241134.json,"['F', 'Si', 'Er', 'Cl', 'Ho']","['O', 'Li', 'Li', 'O', 'Li']","['Na', 'Na', 'K', 'Sb', 'O']","['Mo', 'Fe', 'Mo', 'Mo', 'Li']"
