,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
3688,3688,79987,Cs2H12N6Sn1_79987.json,"['O', 'Ba', 'S', 'Se', 'F']","['N', 'Cs', 'N', 'N', 'N']","['Co', 'Cd', 'Li', 'Fe', 'Ca']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']"
3689,3689,78931,Mn3Rb2Se4_78931.json,"['Ba', 'Sr', 'Sc', 'Er', 'Ho']","['Rb', 'Rb', 'Mn', 'Rb', 'Rb']","['Na', 'N', 'Li', 'O', 'Cl']","['Mn', 'Se', 'Mn', 'Mn', 'Rb']"
3691,3691,27339,F6K1Rb2Rh1_27339.json,"['Ba', 'Ba', 'Re', 'Sb', 'Sr']","['Rb', 'K', 'Rh', 'Rh', 'Rb']","['O', 'Na', 'K', 'Rb', 'Tl']","['F', 'Rh', 'Rh', 'Rh', 'Rh']"
3694,3694,26909,Cl1Li1_26909.json,"['Si', 'Er', 'Ho', 'Yb', 'Gd']","['Li', 'Li', 'Li', 'Li', 'Li']","['O', 'S', 'O', 'F', 'N']","['Cl', 'Cl', 'Li', 'Li', 'Li']"
3698,3698,151984,I5K1Sn2_151984.json,"['Ba', 'Mn', 'Sr', 'Co', 'Cr']","['K', 'Sn', 'K', 'Sn', 'Sn']","['O', 'S', 'Cs', 'Rb', 'K']","['I', 'I', 'Sn', 'Sn', 'Sn']"
3703,3703,49750,Ba2Se4Si1_49750.json,"['P', 'V', 'As', 'La', 'Cr']","['Si', 'Si', 'Si', 'Ba', 'Si']","['Cs', 'Rb', 'K', 'Li', 'N']","['Ba', 'Ba', 'Ba', 'Si', 'Se']"
3705,3705,95813,Cl4Cs2Pd1_95813.json,"['Ba', 'Sr', 'Fe', 'Mn', 'Sc']","['Cs', 'Cs', 'Pd', 'Pd', 'Pd']","['O', 'S', 'Na', 'Cu', 'K']","['Cl', 'Cl', 'Pd', 'Pd', 'Pd']"
3708,3708,280804,F1I1O2_280804.json,"['F', 'Cl', 'Na', 'Br', 'Li']","['O', 'O', 'F', 'O', 'F']","['O', 'Cs', 'Ba', 'Sc', 'Ca']","['F', 'I', 'I', 'I', 'I']"
3712,3712,620370,Cd1S4Y2_620370.json,"['Re', 'Ge', 'Cl', 'Sn', 'Cr']","['Y', 'Cd', 'S', 'Cd', 'Cd']","['Na', 'K', 'Na', 'Ca', 'N']","['Y', 'Y', 'Cd', 'Y', 'S']"
3716,3716,36002,As1Ca3Cl3_36002.json,"['Ce', 'Pr', 'Nd', 'Am', 'Te']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']","['Na', 'Ag', 'Hg', 'Li', 'F']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
3718,3718,262038,As3Rb1Zn4_262038.json,"['Zr', 'In', 'Hf', 'Sn', 'Pb']","['Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['Li', 'O', 'Na', 'Ag', 'F']","['Zn', 'Rb', 'Zn', 'Zn', 'Zn']"
3719,3719,78748,F6Ga1Li1Pd1_78748.json,"['Si', 'Fe', 'Mn', 'Er', 'Sc']","['Li', 'Pd', 'Pd', 'Li', 'Pd']","['O', 'Cs', 'O', 'Ba', 'Na']","['F', 'Ga', 'Li', 'Ga', 'Pd']"
3721,3721,188529,Cu1K1O1_188529.json,"['F', 'Ba', 'Zn', 'Hg', 'Sr']","['O', 'K', 'Cu', 'Cu', 'K']","['O', 'O', 'Cl', 'N', 'F']","['Cu', 'K', 'K', 'O', 'Cu']"
3722,3722,411214,K1O2Sb1_411214.json,"['F', 'Ba', 'Sr', 'Cl', 'Ca']","['O', 'K', 'K', 'O', 'K']","['Pb', 'K', 'S', 'Tl', 'In']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
3723,3723,159401,Mg1S1_159401.json,"['W', 'Cr', 'Cl', 'Sc', 'Sb']","['Mg', 'Mg', 'S', 'Mg', 'Mg']","['Na', 'O', 'N', 'Li', 'K']","['Mg', 'Mg', 'S', 'Mg', 'Mg']"
3724,3724,66095,Li6Mo1N4_66095.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Na', 'K', 'Sb', 'O', 'Mg']","['Mo', 'Mo', 'Mo', 'Li', 'Mo']"
3725,3725,81977,Cl2Sn1_81977.json,"['Mn', 'Co', 'Cr', 'Fe', 'Sn']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","['O', 'Cs', 'Rb', 'S', 'K']","['Cl', 'Sn', 'Sn', 'Cl', 'Sn']"
3726,3726,61562,F1Rb1_61562.json,"['Ba', 'Sr', 'Er', 'Ho', 'Yb']","['Rb', 'Rb', 'Rb', 'Rb', 'Rb']","['O', 'Cl', 'N', 'Br', 'S']","['F', 'Rb', 'F', 'Rb', 'F']"
3727,3727,27653,Cu1Fe1S2_27653.json,"['Zn', 'Hg', 'Cl', 'Cu', 'Sb']","['Cu', 'Cu', 'S', 'Cu', 'Fe']","['Na', 'K', 'N', 'O', 'Li']","['Fe', 'Fe', 'S', 'Cu', 'Fe']"
3732,3732,427896,F8Ge3_427896.json,"['U', 'Zr', 'Sc', 'Hf', 'Np']","['Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['Cu', 'Ge', 'Mg', 'Zn', 'Li']","['Ge', 'Ge', 'Ge', 'Ge', 'Ge']"
3738,3738,1029,Co1I4Rb2_1029.json,"['Ba', 'Sr', 'Ge', 'Sn', 'K']","['Rb', 'Rb', 'Co', 'Co', 'I']","['O', 'S', 'Na', 'Li', 'O']","['I', 'I', 'Co', 'Co', 'Co']"
3739,3739,15301,Ba1O1_15301.json,"['F', 'Cl', 'La', 'Nd', 'Pr']","['O', 'O', 'Ba', 'Ba', 'Ba']","['Cs', 'Rb', 'K', 'Tl', 'N']","['Ba', 'Ba', 'Ba', 'Ba', 'O']"
