,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
2713,412221,Cl1La3S8Si2_412221.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2714,180009,Cd1O3Tc1_180009.json,"[Species F-, Species Cl-, Species Ge4+, Species Sn4+, Species Cr3+]","[Species O2-, Species O2-, Species Cd2+, Species Cd2+, Species Cd2+]","[Species Na+, Species O2-, Species Li+, Species K+, Species N3-]","[Species Cd2+, Species Cd2+, Species Cd2+, Species Cd2+, Species O2-]"
2715,37391,S1Zn1_37391.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2716,426425,Al1C1O1Sc1_426425.json,"[Species Np5+, Species K+, Species U6+, Species Zr4+, Species Pb4+]","[Species Sc3+, Species O2-, Species Sc3+, Species Sc3+, Species Sc3+]","[Species O2-, Species Zn2+, Species K+, Species Li+, Species Cu2+]","[Species Al3+, Species Sc3+, Species Al3+, Species Sc3+, Species Sc3+]"
2717,85579,In1O4P1_85579.json,"[Species F-, Species Cl-, Species W6+, Species Sb5+, Species Cr6+]","[Species O2-, Species O2-, Species In3+, Species In3+, Species P5+]","[Species Na+, Species K+, Species Si4+, Species Cs+, Species Mg2+]","[Species In3+, Species In3+, Species P5+, Species In3+, Species In3+]"
2718,158622,Cu1F3K1_158622.json,"[Species Ba2+, Species Sr2+, Species Ge4+, Species Si4+, Species Ca2+]","[Species K+, Species K+, Species Cu2+, Species Cu2+, Species K+]","[Species O2-, Species Cu+, Species O2-, Species Cl-, Species Li+]","[Species F-, Species Cu2+, Species K+, Species K+, Species Cu2+]"
2719,174407,Ag1Cu1F3_174407.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2720,6085,C6Cr1Cs2Li1N6_6085.json,"[Species O2-, Species Ba2+, Species S2-, Species Se2-, Species F-]","[Species N3-, Species Cs+, Species N3-, Species N3-, Species N3-]","[Species Na+, Species N3-, Species O2-, Species K+, Species Mg2+]","[Species Cr3+, Species C2+, Species Li+, Species Cr3+, Species Cr3+]"
2721,15072,Bi2O3_15072.json,"[Species F-, Species Cl-, Species U4+, Species Th4+, Species Sb5+]","[Species O2-, Species O2-, Species Bi3+, Species Bi3+, Species Bi3+]","[Species Na+, Species K+, Species Rb+, Species Pb2+, Species S2-]","[Species Bi3+, Species Bi3+, Species Bi3+, Species Bi3+, Species Bi3+]"
2722,430313,Na2Se3Te1_430313.json,"[Species Ca2+, Species Sb5+, Species Er3+, Species W6+, Species Ho3+]","[Species Na+, Species Na+, Species Na+, Species Na+, Species Na+]","[Species N3-, Species La3+, Species Sr2+, Species Nd3+, Species K+]","[Species Se2-, Species Te4+, Species Te4+, Species Te4+, Species Te4+]"
2723,23918,C5Fe1O5_23918.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2724,410874,Ag1C2K1_410874.json,"[Species Hg2+, Species Ra2+, Species Ba2+, Species Pb2+, Species U6+]","[Species Ag+, Species K+, Species K+, Species K+, Species Ag+]","[Species O2-, Species F-, Species O2-, None, None]","[Species K+, Species Ag+, Species Ag+, None, None]"
2725,32529,La1Se2_32529.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2726,27082,Ba1O6Ta2_27082.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2727,16575,Cd1Cl3Cs1_16575.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2728,58001,Al8Mo3_58001.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2729,28232,Br2Hg5O4_28232.json,"[Species F-, Species Cl-, Species K+, Species Ge4+, Species Sn4+]","[Species O2-, Species O2-, Species Br-, Species Hg2+, Species Hg2+]","[Species O2-, Species Cu+, Species S2-, Species O2-, Species Ag+]","[Species Br-, Species Hg2+, Species Br-, Species Hg2+, Species Hg2+]"
2730,240720,Fe1H10N4O8S2_240720.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2731,26689,Cl6Rb2Ti1_26689.json,"[Species Ba2+, Species Sr2+, Species Ta5+, Species Nb5+, Species Er3+]","[Species Rb+, Species Rb+, Species Ti4+, Species Ti4+, Species Rb+]","[Species O2-, Species S2-, Species Na+, Species Zn2+, Species Mn2+]","[Species Cl-, Species Cl-, Species Ti4+, Species Ti4+, Species Ti4+]"
2732,75235,O12P3Rb1Ti2_75235.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2733,413706,C4I2K2N4Pt1_413706.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2734,417994,H2Li1N1Sr2_417994.json,"[Species Ac3+, Species La3+, Species Ce3+, Species La3+, Species Bi3+]","[Species Sr2+, Species Sr2+, Species Sr2+, Species Sr2+, Species Sr2+]","[Species Ag+, Species Hg+, Species Ag+, Species Na+, Species F-]","[Species Sr2+, Species Sr2+, Species Sr2+, Species Sr2+, Species Sr2+]"
2735,201658,H2O11P2V2_201658.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2736,84359,Cl5Mo1S2Se1_84359.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
